{'model_name': 'CFIN', 'conv_size': 256, 'context_size': 32, 'embedding_size': 64, 'deep_layers': [100, 50], 'attn_enable': 1, 'attn_size': 128, 'kernel_size': 5, 'stride': 5, 'batch_norm': 1, 'batch_norm_decay': 0.095, 'dropout_p': 0.1, 'seed': 5, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.084499  rmse 0.1550  df(ActivateDay.Avg) 0.5516  MAE 0.0794
               valid loss 0.024091  rmse 0.1434  df(ActivateDay.Avg) 0.5620  MAE 0.0740
                test loss 0.024035  rmse 0.1432  df(ActivateDay.Avg) 0.5626  MAE 0.0728
      train: epoch 1 loss 0.065290  rmse 0.1363  df(ActivateDay.Avg) 0.3200  MAE 0.0786
               valid loss 0.019076  rmse 0.1276  df(ActivateDay.Avg) 0.1286  MAE 0.0910
                test loss 0.019171  rmse 0.1279  df(ActivateDay.Avg) 0.1613  MAE 0.0916
      train: epoch 2 loss 0.059868  rmse 0.1305  df(ActivateDay.Avg) 0.1447  MAE 0.0826
               valid loss 0.018980  rmse 0.1273  df(ActivateDay.Avg) 0.0561  MAE 0.0859
                test loss 0.018984  rmse 0.1273  df(ActivateDay.Avg) 0.0464  MAE 0.0856
      train: epoch 3 loss 0.057219  rmse 0.1276  df(ActivateDay.Avg) 0.0710  MAE 0.0840
               valid loss 0.018626  rmse 0.1261  df(ActivateDay.Avg) 0.1253  MAE 0.0899
                test loss 0.018575  rmse 0.1259  df(ActivateDay.Avg) 0.1380  MAE 0.0895
      train: epoch 4 loss 0.057222  rmse 0.1276  df(ActivateDay.Avg) 0.0795  MAE 0.0835
               valid loss 0.019155  rmse 0.1278  df(ActivateDay.Avg) 0.1413  MAE 0.0844
      train: epoch 5 loss 0.057239  rmse 0.1276  df(ActivateDay.Avg) 0.0721  MAE 0.0840
               valid loss 0.018984  rmse 0.1273  df(ActivateDay.Avg) 0.0260  MAE 0.0877
      train: epoch 6 loss 0.056265  rmse 0.1265  df(ActivateDay.Avg) 0.0567  MAE 0.0839
               valid loss 0.018378  rmse 0.1252  df(ActivateDay.Avg) 0.0951  MAE 0.0846
                test loss 0.018681  rmse 0.1263  df(ActivateDay.Avg) 0.0872  MAE 0.0850
      train: epoch 7 loss 0.056470  rmse 0.1267  df(ActivateDay.Avg) 0.0634  MAE 0.0836
               valid loss 0.018943  rmse 0.1271  df(ActivateDay.Avg) 0.2085  MAE 0.0828
      train: epoch 8 loss 0.056342  rmse 0.1266  df(ActivateDay.Avg) 0.0601  MAE 0.0836
               valid loss 0.018698  rmse 0.1263  df(ActivateDay.Avg) 0.0166  MAE 0.0855
      train: epoch 9 loss 0.056037  rmse 0.1263  df(ActivateDay.Avg) 0.0407  MAE 0.0844
               valid loss 0.019173  rmse 0.1279  df(ActivateDay.Avg) 0.2456  MAE 0.0817
     train: epoch 10 loss 0.055797  rmse 0.1260  df(ActivateDay.Avg) 0.0452  MAE 0.0838
               valid loss 0.018508  rmse 0.1257  df(ActivateDay.Avg) 0.0031  MAE 0.0865
     train: epoch 11 loss 0.055540  rmse 0.1257  df(ActivateDay.Avg) 0.0378  MAE 0.0840
               valid loss 0.018672  rmse 0.1262  df(ActivateDay.Avg) 0.2109  MAE 0.0783
     train: epoch 12 loss 0.055262  rmse 0.1254  df(ActivateDay.Avg) 0.0445  MAE 0.0836
               valid loss 0.018837  rmse 0.1268  df(ActivateDay.Avg) 0.2793  MAE 0.0752
     train: epoch 13 loss 0.055187  rmse 0.1253  df(ActivateDay.Avg) 0.0504  MAE 0.0833
               valid loss 0.019088  rmse 0.1276  df(ActivateDay.Avg) 0.2377  MAE 0.0818
     train: epoch 14 loss 0.055639  rmse 0.1258  df(ActivateDay.Avg) 0.0477  MAE 0.0836
               valid loss 0.018543  rmse 0.1258  df(ActivateDay.Avg) 0.2160  MAE 0.0799
     train: epoch 15 loss 0.055581  rmse 0.1257  df(ActivateDay.Avg) 0.0407  MAE 0.0836
               valid loss 0.018913  rmse 0.1270  df(ActivateDay.Avg) 0.2427  MAE 0.0788
     train: epoch 16 loss 0.054905  rmse 0.1250  df(ActivateDay.Avg) 0.0393  MAE 0.0831
               valid loss 0.018151  rmse 0.1245  df(ActivateDay.Avg) 0.0086  MAE 0.0841
                test loss 0.018295  rmse 0.1249  df(ActivateDay.Avg) 0.0007  MAE 0.0842
     train: epoch 17 loss 0.054745  rmse 0.1248  df(ActivateDay.Avg) 0.0353  MAE 0.0834
               valid loss 0.018458  rmse 0.1255  df(ActivateDay.Avg) 0.2225  MAE 0.0782
     train: epoch 18 loss 0.055233  rmse 0.1253  df(ActivateDay.Avg) 0.0341  MAE 0.0837
               valid loss 0.018167  rmse 0.1245  df(ActivateDay.Avg) 0.0003  MAE 0.0848
     train: epoch 19 loss 0.054459  rmse 0.1245  df(ActivateDay.Avg) 0.0319  MAE 0.0835
               valid loss 0.018804  rmse 0.1267  df(ActivateDay.Avg) 0.0434  MAE 0.0901
     train: epoch 20 loss 0.054631  rmse 0.1247  df(ActivateDay.Avg) 0.0332  MAE 0.0838
               valid loss 0.018110  rmse 0.1243  df(ActivateDay.Avg) 0.1303  MAE 0.0801
                test loss 0.018364  rmse 0.1252  df(ActivateDay.Avg) 0.1211  MAE 0.0804
     train: epoch 21 loss 0.054927  rmse 0.1250  df(ActivateDay.Avg) 0.0360  MAE 0.0839
               valid loss 0.017915  rmse 0.1236  df(ActivateDay.Avg) 0.0304  MAE 0.0850
                test loss 0.018059  rmse 0.1241  df(ActivateDay.Avg) 0.0389  MAE 0.0851
     train: epoch 22 loss 0.055262  rmse 0.1254  df(ActivateDay.Avg) 0.0320  MAE 0.0839
               valid loss 0.018566  rmse 0.1259  df(ActivateDay.Avg) 0.1672  MAE 0.0827
     train: epoch 23 loss 0.054288  rmse 0.1243  df(ActivateDay.Avg) 0.0301  MAE 0.0835
               valid loss 0.018230  rmse 0.1247  df(ActivateDay.Avg) 0.1412  MAE 0.0793
     train: epoch 24 loss 0.054538  rmse 0.1246  df(ActivateDay.Avg) 0.0364  MAE 0.0836
               valid loss 0.019293  rmse 0.1283  df(ActivateDay.Avg) 0.2553  MAE 0.0922
     train: epoch 25 loss 0.054979  rmse 0.1251  df(ActivateDay.Avg) 0.0296  MAE 0.0838
               valid loss 0.017909  rmse 0.1236  df(ActivateDay.Avg) 0.0240  MAE 0.0863
                test loss 0.018091  rmse 0.1242  df(ActivateDay.Avg) 0.0333  MAE 0.0865
     train: epoch 26 loss 0.054414  rmse 0.1244  df(ActivateDay.Avg) 0.0200  MAE 0.0837
               valid loss 0.018496  rmse 0.1256  df(ActivateDay.Avg) 0.1503  MAE 0.0821
