{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 14, 'future_day': 16, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.076804  rmse 0.1478  df(ActivateDay.Avg) 0.9454  MAE 0.0814
               valid loss 0.022806  rmse 0.1395  df(ActivateDay.Avg) 1.0000  MAE 0.0760
                test loss 0.023548  rmse 0.1418  df(ActivateDay.Avg) 1.0000  MAE 0.0760
      train: epoch 1 loss 0.073320  rmse 0.1444  df(ActivateDay.Avg) 1.0000  MAE 0.0789
               valid loss 0.022806  rmse 0.1395  df(ActivateDay.Avg) 1.0000  MAE 0.0760
                test loss 0.023548  rmse 0.1418  df(ActivateDay.Avg) 1.0000  MAE 0.0760
      train: epoch 2 loss 0.073303  rmse 0.1444  df(ActivateDay.Avg) 1.0000  MAE 0.0789
               valid loss 0.022806  rmse 0.1395  df(ActivateDay.Avg) 1.0000  MAE 0.0760
                test loss 0.023548  rmse 0.1418  df(ActivateDay.Avg) 1.0000  MAE 0.0760
      train: epoch 3 loss 0.073280  rmse 0.1444  df(ActivateDay.Avg) 1.0000  MAE 0.0789
               valid loss 0.022806  rmse 0.1395  df(ActivateDay.Avg) 1.0000  MAE 0.0760
                test loss 0.023548  rmse 0.1418  df(ActivateDay.Avg) 1.0000  MAE 0.0760
      train: epoch 4 loss 0.073323  rmse 0.1444  df(ActivateDay.Avg) 0.9999  MAE 0.0789
