{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.089223  rmse 0.1593  df(ActivateDay.Avg) 0.9524  MAE 0.0737
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
                test loss 0.029999  rmse 0.1600  df(ActivateDay.Avg) 1.0000  MAE 0.0724
      train: epoch 1 loss 0.085808  rmse 0.1562  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
                test loss 0.029999  rmse 0.1600  df(ActivateDay.Avg) 1.0000  MAE 0.0724
      train: epoch 2 loss 0.085928  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
                test loss 0.029999  rmse 0.1600  df(ActivateDay.Avg) 1.0000  MAE 0.0724
      train: epoch 3 loss 0.085853  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
                test loss 0.029999  rmse 0.1600  df(ActivateDay.Avg) 1.0000  MAE 0.0724
      train: epoch 4 loss 0.085887  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
                test loss 0.029999  rmse 0.1600  df(ActivateDay.Avg) 1.0000  MAE 0.0724
      train: epoch 5 loss 0.094245  rmse 0.1637  df(ActivateDay.Avg) 0.8785  MAE 0.0772
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
      train: epoch 6 loss 0.085908  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
      train: epoch 7 loss 0.085952  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
      train: epoch 8 loss 0.085928  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
      train: epoch 9 loss 0.085942  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 10 loss 0.085947  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 11 loss 0.085878  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 12 loss 0.085923  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 13 loss 0.085803  rmse 0.1562  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 14 loss 0.085937  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 15 loss 0.085946  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030151  rmse 0.1604  df(ActivateDay.Avg) 0.9999  MAE 0.0747
                test loss 0.029997  rmse 0.1600  df(ActivateDay.Avg) 0.9999  MAE 0.0724
     train: epoch 16 loss 0.088052  rmse 0.1583  df(ActivateDay.Avg) 0.9698  MAE 0.0728
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 17 loss 0.085957  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 18 loss 0.085942  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 19 loss 0.085863  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 20 loss 0.085908  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 21 loss 0.085903  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 22 loss 0.085947  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 23 loss 0.085947  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 24 loss 0.085938  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 25 loss 0.085903  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 26 loss 0.085952  rmse 0.1564  df(ActivateDay.Avg) 1.0000  MAE 0.0714
               valid loss 0.030154  rmse 0.1604  df(ActivateDay.Avg) 1.0000  MAE 0.0747
     train: epoch 27 loss 0.085928  rmse 0.1563  df(ActivateDay.Avg) 1.0000  MAE 0.0713
