{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 3, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.091745  rmse 0.1615  df(ActivateDay.Avg) 0.9572  MAE 0.0756
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
      train: epoch 1 loss 0.088738  rmse 0.1589  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
      train: epoch 2 loss 0.088937  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
      train: epoch 3 loss 0.088957  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
      train: epoch 4 loss 0.088957  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
      train: epoch 5 loss 0.090202  rmse 0.1602  df(ActivateDay.Avg) 0.9772  MAE 0.0745
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
      train: epoch 6 loss 0.088957  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
      train: epoch 7 loss 0.088832  rmse 0.1590  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
      train: epoch 8 loss 0.088942  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
      train: epoch 9 loss 0.088937  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 10 loss 0.088957  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 11 loss 0.088942  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 12 loss 0.088942  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 13 loss 0.088947  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 14 loss 0.088962  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 15 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 16 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 17 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 18 loss 0.088962  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 19 loss 0.088947  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 20 loss 0.089335  rmse 0.1594  df(ActivateDay.Avg) 0.9824  MAE 0.0741
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 21 loss 0.088902  rmse 0.1590  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 22 loss 0.088822  rmse 0.1589  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 23 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 24 loss 0.088942  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 25 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 26 loss 0.088922  rmse 0.1590  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 27 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 28 loss 0.088957  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 29 loss 0.088967  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0735
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 30 loss 0.088842  rmse 0.1590  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 31 loss 0.088947  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 32 loss 0.088842  rmse 0.1590  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
     train: epoch 33 loss 0.088937  rmse 0.1591  df(ActivateDay.Avg) 1.0000  MAE 0.0734
               valid loss 0.027503  rmse 0.1532  df(ActivateDay.Avg) 1.0000  MAE 0.0698
                test loss 0.029516  rmse 0.1587  df(ActivateDay.Avg) 1.0000  MAE 0.0708
     train: epoch 34 loss 0.071975  rmse 0.1431  df(ActivateDay.Avg) 0.5468  MAE 0.0782
               valid loss 0.016794  rmse 0.1197  df(ActivateDay.Avg) 0.1498  MAE 0.0791
                test loss 0.018050  rmse 0.1241  df(ActivateDay.Avg) 0.1673  MAE 0.0810
     train: epoch 35 loss 0.054824  rmse 0.1249  df(ActivateDay.Avg) 0.0594  MAE 0.0856
               valid loss 0.016725  rmse 0.1195  df(ActivateDay.Avg) 0.1078  MAE 0.0872
                test loss 0.017949  rmse 0.1238  df(ActivateDay.Avg) 0.0887  MAE 0.0892
