{'model_name': 'DPCNN', 'dpcnn_conv2_kernel_1': 3, 'dpcnn_conv2_output_size_1': 32, 'dpcnn_conv2_kernel_2': 3, 'dpcnn_conv2_output_size_2': 64, 'liner_1_output_size': 128, 'dropout_p': 0.1, 'seed': 4, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 23, 'future_day': 7, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.092980  rmse 0.1626  df(ActivateDay.Avg) 0.9633  MAE 0.0751
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
                test loss 0.027005  rmse 0.1518  df(ActivateDay.Avg) 1.0000  MAE 0.0704
      train: epoch 1 loss 0.090242  rmse 0.1602  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
                test loss 0.027005  rmse 0.1518  df(ActivateDay.Avg) 1.0000  MAE 0.0704
      train: epoch 2 loss 0.090367  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
                test loss 0.027005  rmse 0.1518  df(ActivateDay.Avg) 1.0000  MAE 0.0704
      train: epoch 3 loss 0.096049  rmse 0.1653  df(ActivateDay.Avg) 0.9563  MAE 0.0757
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 4 loss 0.090307  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 5 loss 0.090372  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 6 loss 0.090302  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 7 loss 0.090342  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 8 loss 0.090337  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
               valid loss 0.028719  rmse 0.1565  df(ActivateDay.Avg) 1.0000  MAE 0.0711
      train: epoch 9 loss 0.090372  rmse 0.1603  df(ActivateDay.Avg) 1.0000  MAE 0.0732
