{'model_name': 'LSCNN', 'embedding_size': 64, 'hidden_size': 10, 'lstm_2_input_size': 100, 'lscnn_conv2_kernel': 3, 'lscnn_conv2_output_size': 20, 'lscnn_pool_kernel': 2, 'dropout_p': 0.1, 'seed': 1, 'batch_size': 64, 'learning_rate': 0.001, 'weight_decay': 1e-05, 'max_iter': 50, 'DataSet': 'kddcup2015', 'day': 14, 'future_day': 16, 'data_dilution_ratio': 1.0, 'whether_process': False, 'loss_func': 'MSE', 'cuda': 0, 'bce_weight': 0.05, 'multi_task_enable': 0, 'fine_grained': 0, 'device': device(type='cuda', index=0), 'u_feat_size': 2, 'u_field_size': 2, 'a_feat_size': 7, 'a_field_size': 7, 'act_feat_num': 7}
      train: epoch 0 loss 0.040501  rmse 0.1073  df(ActivateDay.Avg) 0.0692  MAE 0.0688
               valid loss 0.011527  rmse 0.0992  df(ActivateDay.Avg) 0.0558  MAE 0.0603
                test loss 0.011887  rmse 0.1007  df(ActivateDay.Avg) 0.0258  MAE 0.0617
      train: epoch 1 loss 0.034005  rmse 0.0983  df(ActivateDay.Avg) 0.0199  MAE 0.0621
               valid loss 0.011065  rmse 0.0972  df(ActivateDay.Avg) 0.0709  MAE 0.0587
                test loss 0.011302  rmse 0.0982  df(ActivateDay.Avg) 0.0460  MAE 0.0598
      train: epoch 2 loss 0.033205  rmse 0.0972  df(ActivateDay.Avg) 0.0148  MAE 0.0605
               valid loss 0.011020  rmse 0.0970  df(ActivateDay.Avg) 0.0390  MAE 0.0601
                test loss 0.011343  rmse 0.0984  df(ActivateDay.Avg) 0.0151  MAE 0.0612
      train: epoch 3 loss 0.033007  rmse 0.0969  df(ActivateDay.Avg) 0.0133  MAE 0.0604
               valid loss 0.011249  rmse 0.0980  df(ActivateDay.Avg) 0.0406  MAE 0.0608
      train: epoch 4 loss 0.032842  rmse 0.0967  df(ActivateDay.Avg) 0.0124  MAE 0.0601
               valid loss 0.010893  rmse 0.0964  df(ActivateDay.Avg) 0.0499  MAE 0.0581
                test loss 0.011149  rmse 0.0975  df(ActivateDay.Avg) 0.0193  MAE 0.0595
      train: epoch 5 loss 0.032730  rmse 0.0965  df(ActivateDay.Avg) 0.0129  MAE 0.0600
               valid loss 0.011077  rmse 0.0972  df(ActivateDay.Avg) 0.0645  MAE 0.0632
      train: epoch 6 loss 0.032657  rmse 0.0964  df(ActivateDay.Avg) 0.0113  MAE 0.0598
               valid loss 0.010860  rmse 0.0963  df(ActivateDay.Avg) 0.0106  MAE 0.0608
                test loss 0.011163  rmse 0.0976  df(ActivateDay.Avg) 0.0382  MAE 0.0621
      train: epoch 7 loss 0.032651  rmse 0.0964  df(ActivateDay.Avg) 0.0139  MAE 0.0599
               valid loss 0.010878  rmse 0.0963  df(ActivateDay.Avg) 0.0473  MAE 0.0578
      train: epoch 8 loss 0.032481  rmse 0.0961  df(ActivateDay.Avg) 0.0142  MAE 0.0597
               valid loss 0.010847  rmse 0.0962  df(ActivateDay.Avg) 0.0213  MAE 0.0584
                test loss 0.011300  rmse 0.0982  df(ActivateDay.Avg) 0.0096  MAE 0.0604
      train: epoch 9 loss 0.032559  rmse 0.0962  df(ActivateDay.Avg) 0.0117  MAE 0.0598
               valid loss 0.010890  rmse 0.0964  df(ActivateDay.Avg) 0.0088  MAE 0.0598
     train: epoch 10 loss 0.032313  rmse 0.0959  df(ActivateDay.Avg) 0.0134  MAE 0.0597
               valid loss 0.010909  rmse 0.0965  df(ActivateDay.Avg) 0.0282  MAE 0.0589
     train: epoch 11 loss 0.032332  rmse 0.0959  df(ActivateDay.Avg) 0.0163  MAE 0.0596
               valid loss 0.010998  rmse 0.0969  df(ActivateDay.Avg) 0.1001  MAE 0.0564
     train: epoch 12 loss 0.032543  rmse 0.0962  df(ActivateDay.Avg) 0.0086  MAE 0.0597
               valid loss 0.010866  rmse 0.0963  df(ActivateDay.Avg) 0.0182  MAE 0.0596
     train: epoch 13 loss 0.032415  rmse 0.0960  df(ActivateDay.Avg) 0.0115  MAE 0.0596
               valid loss 0.010932  rmse 0.0966  df(ActivateDay.Avg) 0.0497  MAE 0.0576
     train: epoch 14 loss 0.032362  rmse 0.0959  df(ActivateDay.Avg) 0.0162  MAE 0.0597
               valid loss 0.011115  rmse 0.0974  df(ActivateDay.Avg) 0.1410  MAE 0.0563
     train: epoch 15 loss 0.032374  rmse 0.0960  df(ActivateDay.Avg) 0.0109  MAE 0.0596
               valid loss 0.010900  rmse 0.0964  df(ActivateDay.Avg) 0.0431  MAE 0.0605
     train: epoch 16 loss 0.032424  rmse 0.0960  df(ActivateDay.Avg) 0.0119  MAE 0.0597
               valid loss 0.010850  rmse 0.0962  df(ActivateDay.Avg) 0.0147  MAE 0.0598
     train: epoch 17 loss 0.032208  rmse 0.0957  df(ActivateDay.Avg) 0.0140  MAE 0.0595
               valid loss 0.010947  rmse 0.0966  df(ActivateDay.Avg) 0.0415  MAE 0.0613
     train: epoch 18 loss 0.032064  rmse 0.0955  df(ActivateDay.Avg) 0.0168  MAE 0.0595
               valid loss 0.011090  rmse 0.0973  df(ActivateDay.Avg) 0.0538  MAE 0.0596
     train: epoch 19 loss 0.032102  rmse 0.0956  df(ActivateDay.Avg) 0.0163  MAE 0.0594
               valid loss 0.011179  rmse 0.0977  df(ActivateDay.Avg) 0.0995  MAE 0.0585
